county_state,year,population
"GRAINGER, TENNESSEE",2023,24713
"GRAINGER, TENNESSEE",2024,25098
"GRAINGER, TENNESSEE",2025,25739
"GREENE, TENNESSEE",2016,68529
"GREENE, TENNESSEE",2017,68821
"GREENE, TENNESSEE",2018,69164
"GREENE, TENNESSEE",2019,69069
"GREENE, TENNESSEE",2020,70339
"GREENE, TENNESSEE",2021,70582
"GREENE, TENNESSEE",2022,71286
"GREENE, TENNESSEE",2023,72518
"GREENE, TENNESSEE",2024,73345
"GREENE, TENNESSEE",2025,73831
"GRUNDY, TENNESSEE",2016,13276
"GRUNDY, TENNESSEE",2017,13332
"GRUNDY, TENNESSEE",2018,13348
"GRUNDY, TENNESSEE",2019,13427
"GRUNDY, TENNESSEE",2020,13541
"GRUNDY, TENNESSEE",2021,13577
"GRUNDY, TENNESSEE",2022,13787
"GRUNDY, TENNESSEE",2023,13954
"GRUNDY, TENNESSEE",2024,14118
"GRUNDY, TENNESSEE",2025,14116
"HAMBLEN, TENNESSEE",2016,63681
"HAMBLEN, TENNESSEE",2017,64062
"HAMBLEN, TENNESSEE",2018,64629
"HAMBLEN, TENNESSEE",2019,64934
"HAMBLEN, TENNESSEE",2020,64553
"HAMBLEN, TENNESSEE",2021,64390
"HAMBLEN, TENNESSEE",2022,65303
"HAMBLEN, TENNESSEE",2023,66582
"HAMBLEN, TENNESSEE",2024,68177
"HAMBLEN, TENNESSEE",2025,68843
"HAMILTON, TENNESSEE",2016,357778
"HAMILTON, TENNESSEE",2017,361032
"HAMILTON, TENNESSEE",2018,364293
"HAMILTON, TENNESSEE",2019,367804
"HAMILTON, TENNESSEE",2020,367886
"HAMILTON, TENNESSEE",2021,369725
"HAMILTON, TENNESSEE",2022,375738
"HAMILTON, TENNESSEE",2023,381087
"HAMILTON, TENNESSEE",2024,387268
"HAMILTON, TENNESSEE",2025,390833
"HANCOCK, TENNESSEE",2016,6583
"HANCOCK, TENNESSEE",2017,6593
"HANCOCK, TENNESSEE",2018,6561
"HANCOCK, TENNESSEE",2019,6620
"HANCOCK, TENNESSEE",2020,6628
"HANCOCK, TENNESSEE",2021,6791
"HANCOCK, TENNESSEE",2022,6839
"HANCOCK, TENNESSEE",2023,6974
"HANCOCK, TENNESSEE",2024,7046
"HANCOCK, TENNESSEE",2025,7075
"HARDEMAN, TENNESSEE",2016,25584
"HARDEMAN, TENNESSEE",2017,25488
"HARDEMAN, TENNESSEE",2018,25276
"HARDEMAN, TENNESSEE",2019,25050
"HARDEMAN, TENNESSEE",2020,25435
"HARDEMAN, TENNESSEE",2021,25259
"HARDEMAN, TENNESSEE",2022,25483
"HARDEMAN, TENNESSEE",2023,25555
"HARDEMAN, TENNESSEE",2024,25527
"HARDEMAN, TENNESSEE",2025,25274
"HARDIN, TENNESSEE",2016,25740
"HARDIN, TENNESSEE",2017,25738
"HARDIN, TENNESSEE",2018,25693
"HARDIN, TENNESSEE",2019,25652
"HARDIN, TENNESSEE",2020,26948
"HARDIN, TENNESSEE",2021,26977
"HARDIN, TENNESSEE",2022,27215
"HARDIN, TENNESSEE",2023,27433
"HARDIN, TENNESSEE",2024,27672
"HARDIN, TENNESSEE",2025,27983
"HAWKINS, TENNESSEE",2016,56565
"HAWKINS, TENNESSEE",2017,56620
"HAWKINS, TENNESSEE",2018,56713
"HAWKINS, TENNESSEE",2019,56786
"HAWKINS, TENNESSEE",2020,56715
"HAWKINS, TENNESSEE",2021,57200
"HAWKINS, TENNESSEE",2022,57919
"HAWKINS, TENNESSEE",2023,58587
"HAWKINS, TENNESSEE",2024,59422
"HAWKINS, TENNESSEE",2025,59559
"HAYWOOD, TENNESSEE",2016,17822
"HAYWOOD, TENNESSEE",2017,17607
"HAYWOOD, TENNESSEE",2018,17347
"HAYWOOD, TENNESSEE",2019,17304
"HAYWOOD, TENNESSEE",2020,17827
"HAYWOOD, TENNESSEE",2021,17666
"HAYWOOD, TENNESSEE",2022,17468
"HAYWOOD, TENNESSEE",2023,17377
"HAYWOOD, TENNESSEE",2024,17211
"HAYWOOD, TENNESSEE",2025,17042
"HENDERSON, TENNESSEE",2016,27855
"HENDERSON, TENNESSEE",2017,27851
"HENDERSON, TENNESSEE",2018,27983
"HENDERSON, TENNESSEE",2019,28117
"HENDERSON, TENNESSEE",2020,27833
"HENDERSON, TENNESSEE",2021,27918
"HENDERSON, TENNESSEE",2022,27912
"HENDERSON, TENNESSEE",2023,28083
"HENDERSON, TENNESSEE",2024,28229
"HENDERSON, TENNESSEE",2025,28518
"HENRY, TENNESSEE",2016,32232
"HENRY, TENNESSEE",2017,32380
"HENRY, TENNESSEE",2018,32336
"HENRY, TENNESSEE",2019,32345
"HENRY, TENNESSEE",2020,32149
"HENRY, TENNESSEE",2021,32252
"HENRY, TENNESSEE",2022,32328
"HENRY, TENNESSEE",2023,32504
"HENRY, TENNESSEE",2024,32920
"HENRY, TENNESSEE",2025,32896
"HICKMAN, TENNESSEE",2016,24666
"HICKMAN, TENNESSEE",2017,24839
"HICKMAN, TENNESSEE",2018,25007
"HICKMAN, TENNESSEE",2019,25178
"HICKMAN, TENNESSEE",2020,24972
"HICKMAN, TENNESSEE",2021,25080
"HICKMAN, TENNESSEE",2022,25466
"HICKMAN, TENNESSEE",2023,25794
"HICKMAN, TENNESSEE",2024,25913
"HICKMAN, TENNESSEE",2025,26219
"HOUSTON, TENNESSEE",2016,8101
"HOUSTON, TENNESSEE",2017,8158
"HOUSTON, TENNESSEE",2018,8234
"HOUSTON, TENNESSEE",2019,8201
"HOUSTON, TENNESSEE",2020,8295
"HOUSTON, TENNESSEE",2021,8298
"HOUSTON, TENNESSEE",2022,8232
"HOUSTON, TENNESSEE",2023,8391
"HOUSTON, TENNESSEE",2024,8525
"HOUSTON, TENNESSEE",2025,8479
"HUMPHREYS, TENNESSEE",2016,18383
"HUMPHREYS, TENNESSEE",2017,18503
"HUMPHREYS, TENNESSEE",2018,18551
"HUMPHREYS, TENNESSEE",2019,18582
"HUMPHREYS, TENNESSEE",2020,18998
"HUMPHREYS, TENNESSEE",2021,19179
"HUMPHREYS, TENNESSEE",2022,19039
"HUMPHREYS, TENNESSEE",2023,19286
"HUMPHREYS, TENNESSEE",2024,19542
"HUMPHREYS, TENNESSEE",2025,19646
"JACKSON, TENNESSEE",2016,11611
"JACKSON, TENNESSEE",2017,11702
"JACKSON, TENNESSEE",2018,11777
"JACKSON, TENNESSEE",2019,11786
"JACKSON, TENNESSEE",2020,11637
"JACKSON, TENNESSEE",2021,11771
"JACKSON, TENNESSEE",2022,12019
"JACKSON, TENNESSEE",2023,12355
"JACKSON, TENNESSEE",2024,12447
"JACKSON, TENNESSEE",2025,12466
"JEFFERSON, TENNESSEE",2016,53148
"JEFFERSON, TENNESSEE",2017,53730
"JEFFERSON, TENNESSEE",2018,54012
"JEFFERSON, TENNESSEE",2019,54495
"JEFFERSON, TENNESSEE",2020,54897
"JEFFERSON, TENNESSEE",2021,55535
"JEFFERSON, TENNESSEE",2022,56695
"JEFFERSON, TENNESSEE",2023,57849
"JEFFERSON, TENNESSEE",2024,59217
"JEFFERSON, TENNESSEE",2025,60024
"JOHNSON, TENNESSEE",2016,17759
"JOHNSON, TENNESSEE",2017,17603
"JOHNSON, TENNESSEE",2018,17774
"JOHNSON, TENNESSEE",2019,17788
"JOHNSON, TENNESSEE",2020,17985
"JOHNSON, TENNESSEE",2021,18042
"JOHNSON, TENNESSEE",2022,18005
"JOHNSON, TENNESSEE",2023,18325
"JOHNSON, TENNESSEE",2024,18522
"JOHNSON, TENNESSEE",2025,18718
"KNOX, TENNESSEE",2016,456089
"KNOX, TENNESSEE",2017,461565
"KNOX, TENNESSEE",2018,466258
"KNOX, TENNESSEE",2019,470313
"KNOX, TENNESSEE",2020,480472
"KNOX, TENNESSEE",2021,486009
"KNOX, TENNESSEE",2022,495827
"KNOX, TENNESSEE",2023,501589
"KNOX, TENNESSEE",2024,507597
"KNOX, TENNESSEE",2025,511453
"LAKE, TENNESSEE",2016,7531
"LAKE, TENNESSEE",2017,7451
"LAKE, TENNESSEE",2018,7407
"LAKE, TENNESSEE",2019,7016
"LAKE, TENNESSEE",2020,6988
"LAKE, TENNESSEE",2021,6569
"LAKE, TENNESSEE",2022,6479
"LAKE, TENNESSEE",2023,6385
"LAKE, TENNESSEE",2024,6339
"LAKE, TENNESSEE",2025,6249
"LAUDERDALE, TENNESSEE",2016,25320
"LAUDERDALE, TENNESSEE",2017,26093
"LAUDERDALE, TENNESSEE",2018,25997
"LAUDERDALE, TENNESSEE",2019,25633
"LAUDERDALE, TENNESSEE",2020,25115
"LAUDERDALE, TENNESSEE",2021,24860
"LAUDERDALE, TENNESSEE",2022,24690
"LAUDERDALE, TENNESSEE",2023,24504
"LAUDERDALE, TENNESSEE",2024,24540
"LAUDERDALE, TENNESSEE",2025,24617
"LAWRENCE, TENNESSEE",2016,43056
"LAWRENCE, TENNESSEE",2017,43388
"LAWRENCE, TENNESSEE",2018,43771
"LAWRENCE, TENNESSEE",2019,44142
"LAWRENCE, TENNESSEE",2020,44185
"LAWRENCE, TENNESSEE",2021,44783
"LAWRENCE, TENNESSEE",2022,45480
"LAWRENCE, TENNESSEE",2023,46091
"LAWRENCE, TENNESSEE",2024,46644
"LAWRENCE, TENNESSEE",2025,46914
"LEWIS, TENNESSEE",2016,11891
"LEWIS, TENNESSEE",2017,12025
"LEWIS, TENNESSEE",2018,12074
"LEWIS, TENNESSEE",2019,12268
"LEWIS, TENNESSEE",2020,12609
"LEWIS, TENNESSEE",2021,12854
"LEWIS, TENNESSEE",2022,12935
"LEWIS, TENNESSEE",2023,13126
"LEWIS, TENNESSEE",2024,13354
"LEWIS, TENNESSEE",2025,13487
"LINCOLN, TENNESSEE",2016,33564
"LINCOLN, TENNESSEE",2017,33892
"LINCOLN, TENNESSEE",2018,34189
"LINCOLN, TENNESSEE",2019,34366
"LINCOLN, TENNESSEE",2020,35332
"LINCOLN, TENNESSEE",2021,35441
"LINCOLN, TENNESSEE",2022,35984
"LINCOLN, TENNESSEE",2023,36157
"LINCOLN, TENNESSEE",2024,36715
"LINCOLN, TENNESSEE",2025,36853
"LOUDON, TENNESSEE",2016,51373
"LOUDON, TENNESSEE",2017,52260
"LOUDON, TENNESSEE",2018,53082
"LOUDON, TENNESSEE",2019,54068
