BEGIN_DATE,BEGIN_TIME,END_DATE,END_TIME,EPISODE_ID,EVENT_ID,EVENT_TYPE,CZ_NAME,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,road_closures,power_outage,total_severity
10-FEB-16,19:00:00,11-FEB-16,00:00:00,103830,620898,Winter Weather,"WARREN, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
01-AUG-16,00:00:00,31-AUG-16,00:00:00,108515,650102,Drought,"FRANKLIN, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
01-AUG-16,00:00:00,31-AUG-16,00:00:00,108515,650103,Drought,"LINCOLN, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
01-JUN-16,17:45:00,01-JUN-16,17:48:00,106408,638796,Thunderstorm Wind,"LINCOLN, TENNESSEE",CST-6,0,0,0,0,5000,0,35.03,-86.82,35.03,-86.82,False,False,0.8617434040351785
31-MAY-16,00:00:00,31-MAY-16,23:59:00,108338,648982,Drought,"FRANKLIN, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
01-JUN-16,00:00:00,30-JUN-16,23:59:00,108345,650021,Drought,"LINCOLN, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
01-JUN-16,00:00:00,30-JUN-16,23:59:00,108345,650022,Drought,"MOORE, TENNESSEE",CST-6,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
15-JUN-16,16:42:00,15-JUN-16,16:45:00,105138,640624,Thunderstorm Wind,"MOORE, TENNESSEE",CST-6,0,0,0,0,0,0,35.28,-86.36,35.28,-86.36,False,False,0.2985967408173823
15-JUN-16,16:45:00,15-JUN-16,16:48:00,105138,640631,Thunderstorm Wind,"LINCOLN, TENNESSEE",CST-6,0,0,0,0,0,0,35.2419,-86.5443,35.2419,-86.5443,False,False,0.2985967408173823
15-JUN-16,16:54:00,15-JUN-16,16:57:00,105138,640634,Thunderstorm Wind,"MOORE, TENNESSEE",CST-6,0,0,0,0,0,0,35.2106,-86.4603,35.2106,-86.4603,False,False,0.2985967408173823
