county_state,year,population
"DAVIDSON COUNTY, TENNESSEE",2025,745904
"DECATUR COUNTY, TENNESSEE",2016,11735
"DECATUR COUNTY, TENNESSEE",2017,11732
"DECATUR COUNTY, TENNESSEE",2018,11699
"DECATUR COUNTY, TENNESSEE",2019,11663
"DECATUR COUNTY, TENNESSEE",2020,11429
"DECATUR COUNTY, TENNESSEE",2021,11392
"DECATUR COUNTY, TENNESSEE",2022,11527
"DECATUR COUNTY, TENNESSEE",2023,11685
"DECATUR COUNTY, TENNESSEE",2024,11738
"DECATUR COUNTY, TENNESSEE",2025,11820
"DEKALB COUNTY, TENNESSEE",2016,19444
"DEKALB COUNTY, TENNESSEE",2017,19876
"DEKALB COUNTY, TENNESSEE",2018,20133
"DEKALB COUNTY, TENNESSEE",2019,20490
"DEKALB COUNTY, TENNESSEE",2020,20186
"DEKALB COUNTY, TENNESSEE",2021,20503
"DEKALB COUNTY, TENNESSEE",2022,20987
"DEKALB COUNTY, TENNESSEE",2023,21301
"DEKALB COUNTY, TENNESSEE",2024,21684
"DEKALB COUNTY, TENNESSEE",2025,21873
"DICKSON COUNTY, TENNESSEE",2016,51900
"DICKSON COUNTY, TENNESSEE",2017,52774
"DICKSON COUNTY, TENNESSEE",2018,53446
"DICKSON COUNTY, TENNESSEE",2019,53948
"DICKSON COUNTY, TENNESSEE",2020,54452
"DICKSON COUNTY, TENNESSEE",2021,55189
"DICKSON COUNTY, TENNESSEE",2022,55777
"DICKSON COUNTY, TENNESSEE",2023,56882
"DICKSON COUNTY, TENNESSEE",2024,57804
"DICKSON COUNTY, TENNESSEE",2025,58662
"DYER COUNTY, TENNESSEE",2016,37542
"DYER COUNTY, TENNESSEE",2017,37339
"DYER COUNTY, TENNESSEE",2018,37286
"DYER COUNTY, TENNESSEE",2019,37159
"DYER COUNTY, TENNESSEE",2020,36710
"DYER COUNTY, TENNESSEE",2021,36621
"DYER COUNTY, TENNESSEE",2022,36415
"DYER COUNTY, TENNESSEE",2023,36495
"DYER COUNTY, TENNESSEE",2024,36484
"DYER COUNTY, TENNESSEE",2025,36320
"FAYETTE COUNTY, TENNESSEE",2016,39703
"FAYETTE COUNTY, TENNESSEE",2017,40150
"FAYETTE COUNTY, TENNESSEE",2018,40556
"FAYETTE COUNTY, TENNESSEE",2019,41133
"FAYETTE COUNTY, TENNESSEE",2020,41868
"FAYETTE COUNTY, TENNESSEE",2021,42610
"FAYETTE COUNTY, TENNESSEE",2022,43294
"FAYETTE COUNTY, TENNESSEE",2023,44130
"FAYETTE COUNTY, TENNESSEE",2024,44542
"FAYETTE COUNTY, TENNESSEE",2025,45071
"FENTRESS COUNTY, TENNESSEE",2016,18040
"FENTRESS COUNTY, TENNESSEE",2017,18214
"FENTRESS COUNTY, TENNESSEE",2018,18322
"FENTRESS COUNTY, TENNESSEE",2019,18523
"FENTRESS COUNTY, TENNESSEE",2020,18533
"FENTRESS COUNTY, TENNESSEE",2021,18839
"FENTRESS COUNTY, TENNESSEE",2022,19318
"FENTRESS COUNTY, TENNESSEE",2023,19651
