YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201608,109804,656746,2,0.72,NNW,OGLESBY,36.0597,-86.7348,363582,8644088
201608,109804,656746,3,1.13,SSW,OGLESBY,36.0354,-86.7392,362124,8644352
201608,109804,656746,4,1.33,SW,OGLESBY,36.0369,-86.7474,362214,8644844
201608,109805,656748,1,0.92,NNW,CHESTNUT GROVE,36.4328,-86.9046,3625968,8654276
201608,109805,656749,1,1.87,SE,WALTERHILL,35.9277,-86.3812,3555662,8622872
201608,109805,656750,1,1.18,NE,LEANNA,35.9397,-86.4328,3556382,8625968
201608,109805,656750,2,0.96,SW,WALTERHILL,35.9385,-86.4095,3556310,8624570
201608,109805,656750,3,1.43,WNW,COMPTON,35.9083,-86.3733,3554498,8622398
201608,109805,656750,4,2.61,NW,MURFREESBORO ARPT,35.9108,-86.4071,3554648,8624426
201608,109805,656751,1,1.23,SE,GRIFFINTOWN,36.1675,-87.1143,3610050,876858
201608,109806,656753,1,0.0,N,HENDERSONVILLE,36.28,-86.62,3616800,8637200
201608,109806,656754,1,0.36,ESE,GREENLAWN,36.2481,-86.5639,3614886,8633834
201608,109806,656754,2,1.01,S,GREENLAWN,36.2355,-86.5677,3614130,8634062
201608,109806,656755,1,1.16,ESE,WEST HARPETH,35.8423,-86.9016,3550538,8654096
201608,109834,656905,1,0.63,ENE,SHUBERT,35.5337,-87.5697,3532022,8734182
201608,109837,656907,1,1.67,N,GNAT HILL,35.644,-86.1463,3538640,868778
201608,109839,656909,1,0.3,S,MC GLAMERYS STAND,35.1457,-87.7492,358742,8744952
201608,109839,656911,1,0.0,N,MT PLEASANT,35.53,-87.2,3531800,8712000
201608,109839,656912,1,0.0,N,HAMPSHIRE,35.6,-87.3,3536000,8718000
201608,109839,656913,1,0.0,N,COLUMBIA,35.62,-87.05,3537200,873000
201608,109839,656914,1,1.32,ENE,AETNA,35.66,-87.5,3539600,8730000
201605,104110,622778,1,0.89,SW,FARRAGUT,35.87,-84.18,3552200,8410800
201607,108013,647088,1,0.79,SSE,FAYETTEVILLE ARPT,35.0597,-86.564,353582,8633840
201611,111046,662589,1,0.0,N,STANTON,35.47,-89.4,3528200,8924000
201611,111046,662589,2,1.26,E,KO KO,35.4775,-89.2577,3528650,8915462
201611,111046,662590,1,1.19,NNW,JACKSON,35.6347,-88.8411,3538082,8850466
201611,111046,662590,2,1.27,NNW,JACKSON,35.6372,-88.8377,3538232,8850262
201611,111046,662591,1,0.89,S,LEIGHTON,35.5373,-89.0675,3532238,894050
201611,111046,662591,2,1.13,E,LEIGHTON,35.5476,-89.05,3532856,893000
201611,111982,667789,1,0.89,SE,MULBERRY,35.21,-86.46,3512600,8627600
201612,112568,671621,1,1.72,SW,HERMITAGE SPGS,36.5646,-85.7943,3633876,8547658
201612,112568,671623,1,3.04,NE,NORTH SPGS,36.5,-85.71,3630000,8542600
201612,112568,671626,1,2.79,S,RED HILL,35.2597,-87.4207,3515582,8725242
